[00:00:00.000 --> 00:00:06.440]   I can't believe it.
[00:10:09.240 --> 00:10:12.640]   So you guys are going to interact with that repository, potentially even get collaborators
[00:10:12.640 --> 00:10:14.240]   in to help write the code for this.
[00:10:14.240 --> 00:10:16.320]   Because again, it is going to be such a big thing.
[00:10:16.320 --> 00:10:20.800]   And because it's such a big project that does kind of require a lot of man hours, a lot
[00:10:20.800 --> 00:10:24.320]   of work, obviously I'm going to have to cut corners in some places because I can't just
[00:10:24.320 --> 00:10:29.520]   build like unity or unreal by myself while explaining all of it and documenting it on
[00:10:29.520 --> 00:10:30.520]   video.
[00:10:30.520 --> 00:10:32.360]   That's, that's, that's physically impossible.
[00:10:32.360 --> 00:10:35.120]   And I'm not trying to be realistic and be like, that's what I'm going to do.
[00:10:35.120 --> 00:10:38.620]   It's not like, for example, with the level editor and game engine tools, that's all going
[00:10:38.620 --> 00:10:43.900]   to be kind of built into the actual game runtime, like using I'm gooey because it's not something
[00:10:43.900 --> 00:10:47.320]   that I can just be like, okay, I'm going to make a full Windows application that's going
[00:10:47.320 --> 00:10:51.120]   to be a level editor with my own UI framework with that's not going to happen.
[00:10:51.120 --> 00:10:52.620]   It's impossible, right?
[00:10:52.620 --> 00:10:54.280]   Like this stuff takes so much time.
[00:10:54.280 --> 00:10:58.160]   So there have been like compromises that I've had to make in order to actually make this
[00:10:58.160 --> 00:10:59.160]   project realistic.
[00:10:59.160 --> 00:11:04.280]   And I have thought about a lot of them and yeah, I mean like it's, but it's still going
[00:11:04.280 --> 00:11:06.200]   to be amazing and I absolutely can't wait.
[00:11:06.200 --> 00:11:08.000]   And we are going to be writing a lot of things from scratch.
[00:11:08.000 --> 00:11:12.960]   We'll be using libraries obviously and other kind of third party vendor kind of supplied
[00:11:12.960 --> 00:11:16.480]   tools and like code frameworks or whatever that's going to happen.
[00:11:16.480 --> 00:11:19.440]   Hopefully the wind isn't bad.
[00:11:19.440 --> 00:11:23.880]   But overall, a lot of it is going to be written from scratch from the ground up, which is
[00:11:23.880 --> 00:11:26.120]   going to be really, really, really exciting.
[00:11:26.120 --> 00:11:30.420]   Now if you want to support this project because I do need your help, this is going to take
[00:11:30.420 --> 00:11:31.420]   a lot of my time.
[00:11:31.420 --> 00:11:32.960]   It already has.
[00:11:32.960 --> 00:11:37.180]   So if you want to see this project actually kind of come to life and more of these episodes
[00:11:37.180 --> 00:11:39.400]   to go up, I really do need your support.
[00:11:39.400 --> 00:11:42.260]   So I do have a Patreon, patreon.com/thechurno.
[00:11:42.260 --> 00:11:47.240]   You will get rewards for helping to support of course, such as early access to like game
[00:11:47.240 --> 00:11:48.240]   engine source code.
[00:11:48.240 --> 00:11:52.060]   The actual project will be on GitHub, will be public, will be free, but you'll get kind
[00:11:52.060 --> 00:11:54.300]   of code before it actually goes up.
[00:11:54.300 --> 00:11:58.360]   You'll also get experimental development branches, which is like me already having implemented
[00:11:58.360 --> 00:12:01.680]   certain features before I make the video about them.
[00:12:01.680 --> 00:12:03.720]   Like and that could be months before, right?
[00:12:03.720 --> 00:12:07.120]   So you'll kind of see me write the code as I write the code myself before I make videos
[00:12:07.120 --> 00:12:08.120]   and all that stuff.
[00:12:08.120 --> 00:12:11.560]   And you can also hang out with me on like, um, on Discord.
[00:12:11.560 --> 00:12:15.120]   We have like a video chat once a month where we all have all the kind of partner, which
[00:12:15.120 --> 00:12:17.080]   is like, there's a tier called partner.
[00:12:17.080 --> 00:12:20.120]   All of the partners kind of will kind of hang out in a video chat and we talk about stuff
[00:12:20.120 --> 00:12:23.000]   and we even, we've been talking about the game engine series for the last year.
[00:12:23.000 --> 00:12:26.640]   So those guys actually know a lot about what I'm, what I'm saying here now, which is pretty
[00:12:26.640 --> 00:12:29.960]   cool because you know, that kind of like, I think that's 20 or so partners, they know
[00:12:29.960 --> 00:12:31.360]   like everything, which is really cool.
[00:12:31.360 --> 00:12:34.240]   And we have like our own partner or in the discord chat and all of that.
[00:12:34.240 --> 00:12:38.680]   So you do get a handful of rewards, but most of all, you're just allowing me to kind of
[00:12:38.680 --> 00:12:43.720]   maybe work less and, and kind of spend more of my time developing this game engine series,
[00:12:43.720 --> 00:12:46.000]   um, because you'll kind of be supporting me financially.
[00:12:46.000 --> 00:12:48.400]   So that's just such a, such an amazing thing.
[00:12:48.400 --> 00:12:51.840]   Um, and I'm so grateful for the people who have made it realistic for me to actually
[00:12:51.840 --> 00:12:53.360]   spend so much of my time on this.
[00:12:53.360 --> 00:12:57.640]   Um, so definitely jump on that and let's see, let's see how good, how big of a game engine
[00:12:57.640 --> 00:13:00.320]   we can all build together and how good, how good we can make it.
[00:13:00.320 --> 00:13:01.600]   Absolutely can't wait.
[00:13:01.600 --> 00:13:03.200]   I will see you guys next time.
[00:13:03.200 --> 00:13:05.200]   Oh, I love all of you.
[00:13:05.200 --> 00:13:06.200]   Goodbye.
